period,storenum,weeknum,saleb1,apriceb1,rpriceb1,promotb1,saleb2,apriceb2,rpriceb2,promotb2,saleb3,apriceb3,rpriceb3,promotb3,saleb4,apriceb4,rpriceb4,promotb4,saleb5,apriceb5,rpriceb5,promotb5
9,3.00,34.00,440.00,0.83,0.83,0.00,700.00,0.79,0.79,0.00,327.00,0.79,0.79,0.00,670.00,0.67,0.67,0.00,0.00,0.00,0.00,0.00
9,3.00,35.00,418.00,0.83,0.83,0.00,645.00,0.79,0.79,0.00,301.00,0.79,0.79,0.00,641.00,0.67,0.67,0.00,0.00,0.00,0.00,0.00
9,3.00,36.00,470.00,0.83,0.83,0.00,713.00,0.79,0.79,0.00,294.00,0.79,0.79,0.00,672.00,0.67,0.67,0.00,0.00,0.00,0.00,0.00
10,3.00,37.00,667.00,0.81,0.82,0.00,572.00,0.79,0.79,0.00,319.00,0.79,0.79,0.00,545.00,0.67,0.67,0.00,0.00,0.00,0.00,0.00
10,3.00,38.00,"6,831.00",0.59,0.82,3.00,520.00,0.79,0.79,0.00,210.00,0.79,0.79,0.00,324.00,0.67,0.67,0.00,0.00,0.00,0.00,0.00
10,3.00,39.00,"2,838.00",0.60,0.76,2.00,355.00,0.79,0.79,0.00,183.00,0.79,0.79,0.00,385.00,0.67,0.67,0.00,0.00,0.00,0.00,0.00
10,3.00,40.00,"1,248.00",0.70,0.77,2.00,460.00,0.79,0.79,0.00,241.00,0.79,0.79,0.00,387.00,0.67,0.67,0.00,0.00,0.00,0.00,0.00
11,3.00,41.00,991.00,0.71,0.76,1.00,475.00,0.79,0.79,0.00,431.00,0.79,0.79,2.00,403.00,0.67,0.67,0.00,0.00,0.00,0.00,0.00
11,3.00,42.00,696.00,0.71,0.71,0.00,391.00,0.79,0.79,0.00,"2,079.00",0.69,0.79,3.00,352.00,0.67,0.67,0.00,0.00,0.00,0.00,0.00
11,3.00,43.00,640.00,0.71,0.71,0.00,377.00,0.79,0.79,0.00,"1,655.00",0.69,0.79,3.00,379.00,0.67,0.67,0.00,0.00,0.00,0.00,0.00
11,3.00,44.00,590.00,0.70,0.70,0.00,369.00,0.79,0.79,0.00,"1,304.00",0.69,0.79,2.00,319.00,0.67,0.67,0.00,0.00,0.00,0.00,0.00
12,3.00,45.00,655.00,0.70,0.70,0.00,512.00,0.79,0.79,0.00,755.00,0.79,0.79,2.00,472.00,0.67,0.67,0.00,0.00,0.00,0.00,0.00
12,3.00,46.00,830.00,0.71,0.71,0.00,494.00,0.79,0.79,0.00,363.00,0.79,0.79,2.00,536.00,0.67,0.67,0.00,0.00,0.00,0.00,0.00
12,3.00,47.00,831.00,0.70,0.70,0.00,567.00,0.79,0.79,0.00,519.00,0.79,0.79,2.00,515.00,0.67,0.67,0.00,0.00,0.00,0.00,0.00
12,3.00,48.00,741.00,0.71,0.71,0.00,620.00,0.79,0.79,0.00,453.00,0.79,0.79,2.00,550.00,0.69,0.69,0.00,0.00,0.00,0.00,0.00
13,3.00,49.00,816.00,0.71,0.71,0.00,573.00,0.79,0.79,0.00,350.00,0.79,0.79,0.00,558.00,0.69,0.69,0.00,0.00,0.00,0.00,0.00
13,3.00,50.00,855.00,0.71,0.71,0.00,586.00,0.79,0.79,0.00,401.00,0.79,0.79,2.00,518.00,0.69,0.69,0.00,0.00,0.00,0.00,0.00
13,3.00,51.00,"2,038.00",0.62,0.70,3.00,551.00,0.79,0.79,0.00,857.00,0.64,0.79,2.00,510.00,0.69,0.69,0.00,0.00,0.00,0.00,0.00
13,3.00,52.00,"2,910.00",0.59,0.73,3.00,404.00,0.79,0.79,0.00,"2,218.00",0.59,0.79,3.00,204.00,0.69,0.69,0.00,0.00,0.00,0.00,0.00
